OMGHAI!
-------- day 0 --------
name, sellIn, quality
Sports Memorabilia, 10, 20
Aged Cheese, 2, 0
Coffee Table Book, 5, 7
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 15, 20
Backstage passes to a concert, 10, 49
Backstage passes to a concert, 5, 49
Baked Chocolate Cake, 3, 6

-------- day 1 --------
name, sellIn, quality
Sports Memorabilia, 9, 19
Aged Cheese, 1, 1
Coffee Table Book, 4, 6
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 14, 21
Backstage passes to a concert, 9, 50
Backstage passes to a concert, 4, 50
Baked Chocolate Cake, 2, 5

-------- day 2 --------
name, sellIn, quality
Sports Memorabilia, 8, 18
Aged Cheese, 0, 2
Coffee Table Book, 3, 5
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 13, 22
Backstage passes to a concert, 8, 50
Backstage passes to a concert, 3, 50
Baked Chocolate Cake, 1, 4

-------- day 3 --------
name, sellIn, quality
Sports Memorabilia, 7, 17
Aged Cheese, -1, 4
Coffee Table Book, 2, 4
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 12, 23
Backstage passes to a concert, 7, 50
Backstage passes to a concert, 2, 50
Baked Chocolate Cake, 0, 3

-------- day 4 --------
name, sellIn, quality
Sports Memorabilia, 6, 16
Aged Cheese, -2, 6
Coffee Table Book, 1, 3
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 11, 24
Backstage passes to a concert, 6, 50
Backstage passes to a concert, 1, 50
Baked Chocolate Cake, -1, 1

-------- day 5 --------
name, sellIn, quality
Sports Memorabilia, 5, 15
Aged Cheese, -3, 8
Coffee Table Book, 0, 2
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 10, 25
Backstage passes to a concert, 5, 50
Backstage passes to a concert, 0, 50
Baked Chocolate Cake, -2, 0

-------- day 6 --------
name, sellIn, quality
Sports Memorabilia, 4, 14
Aged Cheese, -4, 10
Coffee Table Book, -1, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 9, 27
Backstage passes to a concert, 4, 50
Backstage passes to a concert, -1, 0
Baked Chocolate Cake, -3, 0

-------- day 7 --------
name, sellIn, quality
Sports Memorabilia, 3, 13
Aged Cheese, -5, 12
Coffee Table Book, -2, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 8, 29
Backstage passes to a concert, 3, 50
Backstage passes to a concert, -2, 0
Baked Chocolate Cake, -4, 0

-------- day 8 --------
name, sellIn, quality
Sports Memorabilia, 2, 12
Aged Cheese, -6, 14
Coffee Table Book, -3, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 7, 31
Backstage passes to a concert, 2, 50
Backstage passes to a concert, -3, 0
Baked Chocolate Cake, -5, 0

-------- day 9 --------
name, sellIn, quality
Sports Memorabilia, 1, 11
Aged Cheese, -7, 16
Coffee Table Book, -4, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 6, 33
Backstage passes to a concert, 1, 50
Backstage passes to a concert, -4, 0
Baked Chocolate Cake, -6, 0

-------- day 10 --------
name, sellIn, quality
Sports Memorabilia, 0, 10
Aged Cheese, -8, 18
Coffee Table Book, -5, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 5, 35
Backstage passes to a concert, 0, 50
Backstage passes to a concert, -5, 0
Baked Chocolate Cake, -7, 0

-------- day 11 --------
name, sellIn, quality
Sports Memorabilia, -1, 8
Aged Cheese, -9, 20
Coffee Table Book, -6, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 4, 38
Backstage passes to a concert, -1, 0
Backstage passes to a concert, -6, 0
Baked Chocolate Cake, -8, 0

-------- day 12 --------
name, sellIn, quality
Sports Memorabilia, -2, 6
Aged Cheese, -10, 22
Coffee Table Book, -7, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 3, 41
Backstage passes to a concert, -2, 0
Backstage passes to a concert, -7, 0
Baked Chocolate Cake, -9, 0

-------- day 13 --------
name, sellIn, quality
Sports Memorabilia, -3, 4
Aged Cheese, -11, 24
Coffee Table Book, -8, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 2, 44
Backstage passes to a concert, -3, 0
Backstage passes to a concert, -8, 0
Baked Chocolate Cake, -10, 0

-------- day 14 --------
name, sellIn, quality
Sports Memorabilia, -4, 2
Aged Cheese, -12, 26
Coffee Table Book, -9, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 1, 47
Backstage passes to a concert, -4, 0
Backstage passes to a concert, -9, 0
